Questions,Modules,Marks,Year
Consider five source symbols of a discrete memory less source their probabilities as shown. Follow the Huffman's algorithm to find the codewords for each message,5,5M,May-19
Compare Bus and Star topology,1,5M,May-19
Compare Message Switching and Circuit Switching ,2,5M,May-19
"Compare LAN,MAN,WAN",1,5M,May-19
Draw  and explain the OSI Reference Model,1,10M,May-19
Generate the CRC code for a dataword  110010101.The divisor 10101. Check whether there are errors in the received codeword,2,10M,May-19
Explain ALOHA and Slotted ALOHA,2,10M,May-19
Compare wired and wireless media,2,10M,May-19
Explain the IPV4 header format,3,10M,May-19
Compare TCP and UDP,4,10M,May-19
What is routing?  Explain DVR with an example,3,10M,May-19
Explain in sliding window protocol,3,10M,May-19
Q) Write a short note on:,,,
1)Speech Compression,5,5M,May-19
2)DNS,5,5M,May-19
3)Congestion Control ,4,5M,May-19
4)TCP Timers ,4,5M,May-19
5)WWW ,5,5M,May-19
,,,
,,,
What are routing devices in computer network?Explain each of them in brief.,2,5M,May-18
Compare lossy with lossless data compression technique.,5,5M,May-18
list five nonproprietary internet applications and application layer protocols that they use,5,5M,May-18
"Examine advantages of LAN,MAN,WAN",1,5M,May-18
Examine problems in application layer,5,5M,May-18
Explain TCP network model for network communication . Hence choose a layer which is responsible for routing packets,1,10M,May-18
Explain client server communication architecture,3,10M,May-18
Create a shortest path between node,3,10M,May-18
"What is IP , explain IPV6 header",3,10M,May-18
Justify stop and wait protocol is not good for network communication,2,10M,May-18
Justify hamming code is error correction and detection mechanism,2,10M,May-18
"What is MACA,explain by giving suitable example",2,10M,May-18
What is Carrier sense,2,10M,May-18
Examine different types of ALOHA,2,5M,May-18
"What is BGP , explain BGP in brief",3,5M,May-18
"Why do HTTP,FTP,SMTP and POP3 run on top of TCP rather than UDP",5,5M,May-18
Comapre various Data flow control techniques,4,5M,May-18
"What is classful addressing , explain different classes of IP ",3,5M,May-18
,,,
,,,
Compare Ring and Star topology ,1,5M,Dec-19
Use RLE method  of compression to compress the following data : AAAACCBBBDDDDDEFF,5,5M,Dec-19
